encoder,learner,metric,delta_eta,mean_rep,ci_low_rep,ci_high_rep,mcse_rep,mean_short,ci_low_short,ci_high_short,mcse_short,mean_theoretical_gap,mean_abs_identity_error,scenario_group,n_scenarios,n_rows,M,target_mechanism,mean_roc_auc
hash_column,lightgbm,brier,,,,,,0.03744999621940253,0.03497403852262161,0.03992595391618345,0.001263243722847406,,,1C_finite,6,300,50.0,hamming_weight,
hash_column,lightgbm,brier,,,,,,0.02769026473606531,0.025612516168997502,0.029768013303133115,0.001060075799524391,,,1C_finite,6,300,50.0,position_specific,
hash_column,lightgbm,brier,,,,,,0.05209303189687771,0.04918501461788448,0.05500104917587094,0.0014836822852006262,,,1C_finite,6,300,200.0,hamming_weight,
hash_column,lightgbm,brier,,,,,,0.03872473231153951,0.03601640365297424,0.041433060970104775,0.001381800336002686,,,1C_finite,6,300,200.0,position_specific,
hash_column,lightgbm,brier,,,,,,0.07522850772032433,0.07216750178107127,0.07828951365957738,0.001561737724108702,,,1C_finite,6,300,1000.0,hamming_weight,
hash_column,lightgbm,brier,,,,,,0.04037907265692637,0.037303370804509815,0.043454774509342924,0.0015692356389880393,,,1C_finite,6,300,1000.0,position_specific,
hash_column,lightgbm,logloss,,,,,,0.05124212555671203,0.046794364758977705,0.055689886354446355,0.0022692657131297565,,,1C_finite,6,300,10.0,hamming_weight,0.728935266721891
hash_column,lightgbm,logloss,,,,,,0.059452839780917976,0.05310302700841873,0.06580265255341723,0.0032397003941322705,,,1C_finite,6,300,10.0,position_specific,0.6559265783276449
hash_column,lightgbm,logloss,,,,,,0.10101218249422712,0.09330226847308964,0.1087220965153646,0.003933629602621163,,,1C_finite,6,300,50.0,hamming_weight,0.7041547157276097
hash_column,lightgbm,logloss,,,,,,0.08340356819496392,0.07597420676966112,0.09083292962026672,0.0037904905231136766,,,1C_finite,6,300,50.0,position_specific,0.6728024102017632
hash_column,lightgbm,logloss,,,,,,0.1379766855568371,0.1292884430535768,0.14666492806009737,0.004432776787377699,,,1C_finite,6,300,200.0,hamming_weight,0.6671270054456075
hash_column,lightgbm,logloss,,,,,,0.11652666488126073,0.10749542805508659,0.12555790170743486,0.004607773890905173,,,1C_finite,6,300,200.0,position_specific,0.6599366599667777
hash_column,lightgbm,logloss,,,,,,0.18982877553901004,0.18036525597790232,0.19929229510011776,0.004828326306687614,,,1C_finite,6,300,1000.0,hamming_weight,0.5924222562486255
hash_column,lightgbm,logloss,,,,,,0.12031906577723928,0.1104890665733254,0.13014906498115314,0.005015305716282589,,,1C_finite,6,300,1000.0,position_specific,0.6578618287606239
hash_column,logistic,brier,,,,,,0.010859195622488969,0.010333452006794723,0.011384939238183215,0.00026823653861951307,,,1C_finite,6,900,10.0,hamming_weight,
hash_column,logistic,brier,,,,,,0.013299444472132492,0.012358966678031108,0.014239922266233876,0.0004798356092353997,,,1C_finite,6,900,10.0,position_specific,
hash_column,logistic,brier,,,,,,0.0189784800314954,0.018205814803556136,0.019751145259434662,0.0003942169530302366,,,1C_finite,6,900,50.0,hamming_weight,
hash_column,logistic,brier,,,,,,0.017056247642571038,0.016267671627889706,0.01784482365725237,0.0004023347013680268,,,1C_finite,6,900,50.0,position_specific,
hash_column,logistic,brier,,,,,,0.06871158574596438,0.06484446616949324,0.07257870532243552,0.001973020192077111,,,1C_finite,6,900,200.0,hamming_weight,
hash_column,logistic,brier,,,,,,0.07219006942453442,0.0683356464400233,0.07604449240904554,0.0019665423390362842,,,1C_finite,6,900,200.0,position_specific,
hash_column,logistic,brier,,,,,,0.1222017193190766,0.11783266820593867,0.1265707704322145,0.0022291077107846544,,,1C_finite,6,900,1000.0,hamming_weight,
hash_column,logistic,brier,,,,,,0.12240970235826681,0.11819119177851553,0.1266282129380181,0.0021523013161996334,,,1C_finite,6,900,1000.0,position_specific,
hash_column,logistic,logloss,,,,,,0.02598064750914827,0.024769116361899973,0.02719217865639657,0.000618128136351172,,,1C_finite,6,900,10.0,hamming_weight,0.7419802542835348
hash_column,logistic,logloss,,,,,,0.03132251905258037,0.029146049096290615,0.03349898900887013,0.0011104438552498748,,,1C_finite,6,900,10.0,position_specific,0.6758614829949132
hash_column,logistic,logloss,,,,,,0.04850429170489575,0.0464440863286539,0.050564497081137603,0.001051125191960129,,,1C_finite,6,900,50.0,hamming_weight,0.739263635098737
hash_column,logistic,logloss,,,,,,0.04385954810182757,0.04175155830830082,0.04596753789535433,0.0010755049966973231,,,1C_finite,6,900,50.0,position_specific,0.682735615536199
hash_column,logistic,logloss,,,,,,0.400082181824294,0.37205930746137494,0.42810505618721306,0.014297384879040346,,,1C_finite,6,900,200.0,hamming_weight,0.6991661382987859
hash_column,logistic,logloss,,,,,,0.39349713481428655,0.36676186739333977,0.42023240223523334,0.013640442561707532,,,1C_finite,6,900,200.0,position_specific,0.6427750485723277
hash_column,logistic,logloss,,,,,,0.7193565434310142,0.6839725977383828,0.7547404891236456,0.018053033516648633,,,1C_finite,6,900,1000.0,hamming_weight,0.6309896910000776
hash_column,logistic,logloss,,,,,,0.7514593184893723,0.7135054485102683,0.7894131884684763,0.019364219377093882,,,1C_finite,6,900,1000.0,position_specific,0.5959365956570286
hash_column,mlp,brier,,,,,,0.018738000014580026,0.01759661893912034,0.019879381090039713,0.0005823372833977993,,,1C_finite,6,300,10.0,hamming_weight,
hash_column,mlp,brier,,,,,,0.019806764002403228,0.01778940026975701,0.021824127735049447,0.0010292672105337854,,,1C_finite,6,300,10.0,position_specific,
hash_column,mlp,brier,,,,,,0.03431559804219121,0.03240702401542592,0.036224172068956506,0.0009737622585537218,,,1C_finite,6,300,50.0,hamming_weight,
hash_column,mlp,brier,,,,,,0.026325737901195724,0.024482424731863604,0.028169051070527844,0.0009404659027204693,,,1C_finite,6,300,50.0,position_specific,
hash_column,mlp,brier,,,,,,0.05425863484616517,0.051705925874884255,0.05681134381744609,0.0013024025363678154,,,1C_finite,6,300,200.0,hamming_weight,
hash_column,mlp,brier,,,,,,0.057790462060753806,0.0544592648228916,0.06112165929861601,0.0016995904274807168,,,1C_finite,6,300,200.0,position_specific,
hash_column,mlp,brier,,,,,,0.10067864897095365,0.09798978350364626,0.10336751443826103,0.0013718701363813193,,,1C_finite,6,300,1000.0,hamming_weight,
hash_column,mlp,brier,,,,,,0.09924126243716405,0.09476501112825506,0.10371751374607305,0.0022838016882188745,,,1C_finite,6,300,1000.0,position_specific,
hash_column,mlp,logloss,,,,,,0.04311021683951648,0.040601176272397406,0.04561925740663555,0.0012801227383260564,,,1C_finite,6,300,10.0,hamming_weight,0.7343690889759674
hash_column,mlp,logloss,,,,,,0.04592848425147736,0.04122249013327592,0.0506344783696788,0.002401017407245632,,,1C_finite,6,300,10.0,position_specific,0.6572595523392812
hash_column,mlp,logloss,,,,,,0.08328695882274217,0.07836538840332824,0.08820852924215611,0.002511005316027514,,,1C_finite,6,300,50.0,hamming_weight,0.6897615677790985
hash_column,mlp,logloss,,,,,,0.06425765623438534,0.05957697202462499,0.0689383404441457,0.002388104188653242,,,1C_finite,6,300,50.0,position_specific,0.6499082074689846
hash_column,mlp,logloss,,,,,,0.1474066717346711,0.13703876198101567,0.15777458148832652,0.005289749874313999,,,1C_finite,6,300,200.0,hamming_weight,0.6482322906675049
hash_column,mlp,logloss,,,,,,0.1716995428271979,0.15618613589292338,0.18721294976147243,0.007915003537895163,,,1C_finite,6,300,200.0,position_specific,0.6019232359275729
hash_column,mlp,logloss,,,,,,0.43101527421631547,0.39668622251258245,0.4653443259200485,0.017514822297822967,,,1C_finite,6,300,1000.0,hamming_weight,0.5994614009656015
hash_column,mlp,logloss,,,,,,0.45645801693634963,0.4136906800672766,0.49922535380542266,0.02182006983115972,,,1C_finite,6,300,1000.0,position_specific,0.5667024173607719
hash_shared,lightgbm,brier,,,,,,0.000803144022590769,0.0006938353143293588,0.0009124527308521791,5.576974911296439e-05,,,1C_finite,6,300,10.0,hamming_weight,
hash_shared,lightgbm,brier,,,,,,0.04295473093764104,0.039795469397079904,0.04611399247820217,0.0016118681329393527,,,1C_finite,6,300,10.0,position_specific,
hash_shared,lightgbm,brier,,,,,,0.0018536528393872282,0.0016339897793796617,0.002073315899394795,0.00011207298979977881,,,1C_finite,6,300,50.0,hamming_weight,
hash_shared,lightgbm,brier,,,,,,0.04772202641785647,0.04432843808015881,0.05111561475555414,0.0017314226212743196,,,1C_finite,6,300,50.0,position_specific,
hash_shared,lightgbm,brier,,,,,,0.0036721088045470547,0.0032593507564184685,0.0040848668526756405,0.00021059084088193169,,,1C_finite,6,300,200.0,hamming_weight,
hash_shared,lightgbm,brier,,,,,,0.050697538125843364,0.04721120099596517,0.054183875255721554,0.0017787434336113226,,,1C_finite,6,300,200.0,position_specific,
hash_shared,lightgbm,brier,,,,,,0.006784843245439204,0.006139648622340864,0.007430037868537544,0.0003291809301522144,,,1C_finite,6,300,1000.0,hamming_weight,
hash_shared,lightgbm,brier,,,,,,0.05528708097581324,0.05162728388382933,0.058946878067797144,0.0018672434142775018,,,1C_finite,6,300,1000.0,position_specific,
hash_shared,lightgbm,logloss,,,,,,0.002499088541232198,0.0021657731036449786,0.0028324039788194173,0.00017005889672817306,,,1C_finite,6,300,10.0,hamming_weight,0.7660623922240103
hash_shared,lightgbm,logloss,,,,,,0.09563996546929027,0.08841090252550468,0.10286902841307585,0.0036882974202987694,,,1C_finite,6,300,10.0,position_specific,0.5487558576161755
hash_shared,lightgbm,logloss,,,,,,0.005618425137332247,0.004978773694093676,0.0062580765805708176,0.000326352777162536,,,1C_finite,6,300,50.0,hamming_weight,0.7758732234104223
