arm,component,scenario_id,replicate,seed,d_active,M,K,marginal,tau,interaction_count,delta_eta,n_train,encoder,bucket_width,width_label,reference_log_gap,reference_brier_gap,production_log_gap,production_brier_gap,log_identity_error,brier_identity_error,prod_ref_log_abs_diff,prod_ref_brier_abs_diff,production_self_identity_error_log,production_self_identity_error_brier,fiber_count,stored_fiber_count,fiber_count_match,stored_representation_loss_log_mc,stored_representation_loss_brier_mc,stored_mcse_log,stored_mcse_brier,stored_abs_diff_log_mc,stored_abs_diff_brier_mc,stored_mc_tolerance_log,stored_mc_tolerance_brier,stored_mc_within_tolerance,recomputed_fiber_fingerprint,stored_fiber_fingerprint,fiber_fingerprint_match,tolerance,within_tolerance,injected_defect,status,notes
d3_frozen,1B,S1B-0004,4,149962004,3,5,4,uniform,0.5,0,0.1,5000,onehot,,,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,1.1102230246251565e-16,0.0,1.1102230246251565e-16,0.0,64,64,1,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,1e-09,1e-09,1,e52264e34a54280ff741f7239005aed7,,,1e-10,1,none,SUCCESS,
d3_frozen,1B,S1B-0004,4,149962004,3,5,4,uniform,0.5,0,0.1,5000,count,,,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,5.551115123125783e-17,0.0,5.551115123125783e-17,64,64,1,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,1e-09,1e-09,1,e52264e34a54280ff741f7239005aed7,,,1e-10,1,none,SUCCESS,
d3_frozen,1B,S1B-0004,4,149962004,3,5,4,uniform,0.5,0,0.1,5000,hash_column,10,B0,0.010371341377169108,0.005067599490978264,0.010371341377166665,0.005067599490978153,2.3314683517128287e-15,1.1796119636642288e-16,2.4424906541753444e-15,1.1102230246251565e-16,8.673617379884035e-17,2.168404344971009e-17,240,240,1,0.010393437303987,0.005077745160409,4.811979803156299e-05,2.350144203886124e-05,2.209592682033551e-05,1.014566943084716e-05,0.00028871978818937797,0.00014100965223316745,1,5b594384085afae80cb1cab187c36bd5,,,1e-10,1,none,SUCCESS,
d3_frozen,1B,S1B-0004,4,149962004,3,5,4,uniform,0.5,0,0.1,5000,hash_column,20,B1,0.008551118208095065,0.004174592184886861,0.008551118208094288,0.004174592184886999,7.546047120499111e-16,1.0061396160665481e-16,7.771561172376096e-16,1.3877787807814457e-16,3.8163916471489756e-17,4.85722573273506e-17,363,363,1,0.0085827927574015,0.0041891298614642,4.195567191819224e-05,2.0467210779391512e-05,3.167454930721146e-05,1.4537676577200745e-05,0.00025173503150915347,0.00012280426467634907,1,3d2825b7d92099ed8ceb9ba050d5d390,,,1e-10,1,none,SUCCESS,
d3_frozen,1B,S1B-0004,4,149962004,3,5,4,uniform,0.5,0,0.1,5000,hash_column,40,B2,0.007546905350130695,0.003682323769782947,0.007546905350130917,0.0036823237697830302,3.41740524767431e-16,3.2959746043559335e-17,2.220446049250313e-16,8.326672684688674e-17,1.0928757898653885e-16,2.5153490401663703e-17,768,768,1,0.0075715701151635,0.0036935631550208,3.400428552779017e-05,1.6581112288694123e-05,2.4664765032583053e-05,1.1239385237769763e-05,0.000204026713166741,9.948767373216473e-05,1,3cf89093468c271e1bf273e2d0b3e30c,,,1e-10,1,none,SUCCESS,
d3_frozen,1B,S1B-0004,4,149962004,3,5,4,uniform,0.5,0,0.1,5000,hash_shared,10,B0,0.013517891742783505,0.006624586570055158,0.013517891742780952,0.0066245865700549356,2.5118795932144167e-15,2.480654570646834e-16,2.55351295663786e-15,2.220446049250313e-16,3.122502256758253e-17,2.7755575615628914e-17,56,56,1,0.0136325332322055,0.0066809026322874,7.773066692962286e-05,3.800811526138916e-05,0.00011464148942454816,5.631606223246467e-05,0.00046638500157773717,0.00022804969156833493,1,f3f5ad342e8943d339602bddd5233506,,,1e-10,1,none,SUCCESS,
d3_frozen,1B,S1B-0004,4,149962004,3,5,4,uniform,0.5,0,0.1,5000,hash_shared,20,B1,0.013517891742783505,0.006624586570055158,0.013517891742780952,0.0066245865700549356,2.5118795932144167e-15,2.480654570646834e-16,2.55351295663786e-15,2.220446049250313e-16,3.122502256758253e-17,2.7755575615628914e-17,56,56,1,0.0136325332322055,0.0066809026322874,7.773066692962286e-05,3.800811526138916e-05,0.00011464148942454816,5.631606223246467e-05,0.00046638500157773717,0.00022804969156833493,1,f3f5ad342e8943d339602bddd5233506,,,1e-10,1,none,SUCCESS,
d3_frozen,1B,S1B-0004,4,149962004,3,5,4,uniform,0.5,0,0.1,5000,hash_shared,40,B2,0.013517891742783505,0.006624586570055158,0.013517891742780952,0.0066245865700549356,2.5118795932144167e-15,2.480654570646834e-16,2.55351295663786e-15,2.220446049250313e-16,3.122502256758253e-17,2.7755575615628914e-17,56,56,1,0.0136325332322055,0.0066809026322874,7.773066692962286e-05,3.800811526138916e-05,0.00011464148942454816,5.631606223246467e-05,0.00046638500157773717,0.00022804969156833493,1,f3f5ad342e8943d339602bddd5233506,,,1e-10,1,none,SUCCESS,
d3_frozen,1B,S1B-0004,4,149962004,3,5,4,uniform,0.5,0,0.1,5000,target,,,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,2.7755575615628914e-17,0.0,2.7755575615628914e-17,64,64,1,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,1e-09,1e-09,1,e52264e34a54280ff741f7239005aed7,,,1e-10,1,none,SUCCESS,
d3_frozen,1B,S1B-0004,4,149962004,3,5,4,uniform,0.5,0,0.1,5000,woe,,,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,2.7755575615628914e-17,0.0,2.7755575615628914e-17,64,64,1,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,1e-09,1e-09,1,e52264e34a54280ff741f7239005aed7,,,1e-10,1,none,SUCCESS,
