panel,scenario_id,K,sigma,rho,regime,metric,value,theoretical_value,mcse
A/B,S2-069,8.0,0.03,0.9,all_equal,p_select_best,1.0,,1.0
A/B,S2-069,8.0,0.03,0.9,all_equal,reporting_bias_mean,0.0001181437469012,,0.0003014092745312
A/B,S2-069,8.0,0.03,0.9,all_equal,winner_instability,0.8674,,0.8674
A/B,S2-069,8.0,0.03,0.9,all_equal,one_se_regret_mean,0.0,,
A/B,S2-069,8.0,0.03,0.9,all_equal,oracle_bound_ratio,0.2225939496556915,,0.2225939496556915
A/B,S2-073,24.0,0.005,0.0,all_equal,oracle_optimism_mean,0.0097325528636395,0.0126056610900578,2.5804434054976924e-05
A/B,S2-073,24.0,0.005,0.0,all_equal,regret_mean,0.0,,0.0
A/B,S2-073,24.0,0.005,0.0,all_equal,p_select_best,1.0,,1.0
A/B,S2-073,24.0,0.005,0.0,all_equal,reporting_bias_mean,-4.367558571e-05,,5.056703444675616e-05
A/B,S2-073,24.0,0.005,0.0,all_equal,winner_instability,0.9553,,0.9553
A/B,S2-073,24.0,0.005,0.0,all_equal,one_se_regret_mean,0.0,,
A/B,S2-073,24.0,0.005,0.0,all_equal,oracle_bound_ratio,0.7720779413398406,,0.7720779413398406
A/B,S2-077,24.0,0.005,0.5,all_equal,oracle_optimism_mean,0.006932698410408,0.0126056610900578,3.990638671428528e-05
A/B,S2-077,24.0,0.005,0.5,all_equal,regret_mean,0.0,,0.0
A/B,S2-077,24.0,0.005,0.5,all_equal,p_select_best,1.0,,1.0
A/B,S2-077,24.0,0.005,0.5,all_equal,reporting_bias_mean,5.379680532008037e-05,,4.987086503593585e-05
A/B,S2-077,24.0,0.005,0.5,all_equal,winner_instability,0.9538,,0.9538
A/B,S2-077,24.0,0.005,0.5,all_equal,one_se_regret_mean,0.0,,
A/B,S2-077,24.0,0.005,0.5,all_equal,oracle_bound_ratio,0.5499670632804792,,0.5499670632804792
A/B,S2-081,24.0,0.005,0.9,all_equal,oracle_optimism_mean,0.0030639767179901,0.0126056610900578,4.783844481180534e-05
A/B,S2-081,24.0,0.005,0.9,all_equal,regret_mean,0.0,,0.0
A/B,S2-081,24.0,0.005,0.9,all_equal,p_select_best,1.0,,1.0
A/B,S2-081,24.0,0.005,0.9,all_equal,reporting_bias_mean,-2.2722610242684716e-05,,4.9835007135909146e-05
A/B,S2-081,24.0,0.005,0.9,all_equal,winner_instability,0.9553,,0.9553
A/B,S2-081,24.0,0.005,0.9,all_equal,one_se_regret_mean,0.0,,
A/B,S2-081,24.0,0.005,0.9,all_equal,oracle_bound_ratio,0.243063548678672,,0.243063548678672
A/B,S2-085,24.0,0.01,0.0,all_equal,oracle_optimism_mean,0.0194615111892633,0.0252113221801156,5.179876390189271e-05
A/B,S2-085,24.0,0.01,0.0,all_equal,regret_mean,0.0,,0.0
A/B,S2-085,24.0,0.01,0.0,all_equal,p_select_best,1.0,,1.0
A/B,S2-085,24.0,0.01,0.0,all_equal,reporting_bias_mean,1.259692299177042e-05,,9.967794903557486e-05
A/B,S2-085,24.0,0.01,0.0,all_equal,winner_instability,0.9529,,0.9529
A/B,S2-085,24.0,0.01,0.0,all_equal,one_se_regret_mean,0.0,,
A/B,S2-085,24.0,0.01,0.0,all_equal,oracle_bound_ratio,0.7719353650009212,,0.7719353650009212
