simulation,scenario_id,replicate,parameter_json,selection_rule_or_encoder,metric,value,theoretical_value,mcse,tolerance,criterion_id,criterion_pass,status,seed,notes
sim2,S2-007,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.5, ""regime"": ""best=0.005""}",panel,winner_instability,0.2538,,0.2538,0.7614000000000001,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1007,
sim2,S2-007,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.5, ""regime"": ""best=0.005""}",panel,one_se_regret_mean,0.000212,,,,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1007,
sim2,S2-007,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.5, ""regime"": ""best=0.005""}",panel,oracle_bound_ratio,0.09327268591843303,,0.09327268591843303,0.2798180577552991,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1007,
sim2,S2-008,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.5, ""regime"": ""best=0.02""}",panel,oracle_optimism_mean,7.159191343064994e-05,0.0074115190368375565,5.0585747481623253e-05,0.00015175724244486977,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1008,
sim2,S2-008,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.5, ""regime"": ""best=0.02""}",panel,regret_mean,0.0,,0.0,0.0001,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1008,
sim2,S2-008,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.5, ""regime"": ""best=0.02""}",panel,p_select_best,1.0,,1.0,3.0,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1008,
sim2,S2-008,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.5, ""regime"": ""best=0.02""}",panel,reporting_bias_mean,7.156481619756352e-05,,5.0586223553827386e-05,0.00015175867066148215,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1008,
sim2,S2-008,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.5, ""regime"": ""best=0.02""}",panel,winner_instability,0.0,,0.0,0.0001,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1008,
sim2,S2-008,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.5, ""regime"": ""best=0.02""}",panel,one_se_regret_mean,0.0,,,,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1008,
sim2,S2-008,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.5, ""regime"": ""best=0.02""}",panel,oracle_bound_ratio,0.009659546588872787,,0.009659546588872787,0.02897863976661836,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1008,
sim2,S2-009,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.9, ""regime"": ""all_equal""}",panel,oracle_optimism_mean,0.0013589129053467697,0.0074115190368375565,4.893484329338569e-05,0.00014680452988015709,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1009,
sim2,S2-009,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.9, ""regime"": ""all_equal""}",panel,regret_mean,0.0,,0.0,0.0001,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1009,
sim2,S2-009,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.9, ""regime"": ""all_equal""}",panel,p_select_best,1.0,,1.0,3.0,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1009,
sim2,S2-009,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.9, ""regime"": ""all_equal""}",panel,reporting_bias_mean,2.5182798681263663e-05,,5.0131422621785554e-05,0.00015039426786535667,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1009,
sim2,S2-009,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.9, ""regime"": ""all_equal""}",panel,winner_instability,0.6549,,0.6549,1.9647000000000001,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1009,
sim2,S2-009,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.9, ""regime"": ""all_equal""}",panel,one_se_regret_mean,0.0,,,,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1009,
sim2,S2-009,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.9, ""regime"": ""all_equal""}",panel,oracle_bound_ratio,0.18335146932667237,,0.18335146932667237,0.5500544079800171,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1009,
sim2,S2-010,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.9, ""regime"": ""best=0.002""}",panel,oracle_optimism_mean,0.00031904522912970914,0.0074115190368375565,4.990564916706542e-05,0.00014971694750119625,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1010,
sim2,S2-010,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.9, ""regime"": ""best=0.002""}",panel,regret_mean,0.0005876000000000001,,9.110484295162867e-06,0.0001,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1010,
sim2,S2-010,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.9, ""regime"": ""best=0.002""}",panel,p_select_best,0.7062,,0.7062,2.1186000000000003,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1010,
sim2,S2-010,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.9, ""regime"": ""best=0.002""}",panel,reporting_bias_mean,-5.373620426661583e-05,,5.064583125053004e-05,0.00015193749375159012,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1010,
sim2,S2-010,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.9, ""regime"": ""best=0.002""}",panel,winner_instability,0.29379999999999995,,0.29379999999999995,0.8813999999999999,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1010,
sim2,S2-010,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.9, ""regime"": ""best=0.002""}",panel,one_se_regret_mean,2.6e-06,,,,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1010,
sim2,S2-010,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.9, ""regime"": ""best=0.002""}",panel,oracle_bound_ratio,0.04304721171786176,,0.04304721171786176,0.1291416351535853,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1010,
sim2,S2-011,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.9, ""regime"": ""best=0.005""}",panel,oracle_optimism_mean,-3.2413367283809364e-07,0.0074115190368375565,5.023371391762811e-05,0.00015070114175288433,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1011,
sim2,S2-011,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.9, ""regime"": ""best=0.005""}",panel,regret_mean,0.0001265,,7.852129685254784e-06,0.0001,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1011,
sim2,S2-011,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.9, ""regime"": ""best=0.005""}",panel,p_select_best,0.9747,,0.9747,2.9241,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1011,
sim2,S2-011,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.9, ""regime"": ""best=0.005""}",panel,reporting_bias_mean,-2.0244045063571027e-05,,5.0379765010816014e-05,0.00015113929503244805,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1011,
sim2,S2-011,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.9, ""regime"": ""best=0.005""}",panel,winner_instability,0.02529999999999999,,0.02529999999999999,0.07589999999999997,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1011,
sim2,S2-011,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.9, ""regime"": ""best=0.005""}",panel,one_se_regret_mean,0.0,,,,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1011,
sim2,S2-011,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.9, ""regime"": ""best=0.005""}",panel,oracle_bound_ratio,-4.3733770530312125e-05,,-4.3733770530312125e-05,0.0001,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1011,
sim2,S2-012,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.9, ""regime"": ""best=0.02""}",panel,oracle_optimism_mean,-3.068511664713251e-05,0.0074115190368375565,5.084338111121312e-05,0.00015253014333363934,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1012,
sim2,S2-012,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.9, ""regime"": ""best=0.02""}",panel,regret_mean,0.0,,0.0,0.0001,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1012,
sim2,S2-012,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.9, ""regime"": ""best=0.02""}",panel,p_select_best,1.0,,1.0,3.0,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1012,
sim2,S2-012,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.9, ""regime"": ""best=0.02""}",panel,reporting_bias_mean,-3.068511664713251e-05,,5.084338111121312e-05,0.00015253014333363934,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1012,
sim2,S2-012,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.9, ""regime"": ""best=0.02""}",panel,winner_instability,0.0,,0.0,0.0001,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1012,
sim2,S2-012,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.9, ""regime"": ""best=0.02""}",panel,one_se_regret_mean,0.0,,,,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1012,
sim2,S2-012,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.9, ""regime"": ""best=0.02""}",panel,oracle_bound_ratio,-0.004140192650739737,,-0.004140192650739737,0.0001,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1012,
sim2,S2-013,10000,"{""K"": 3, ""sigma"": 0.01, ""rho"": 0.0, ""regime"": ""all_equal""}",panel,oracle_optimism_mean,0.008494934236314823,0.014823038073675113,7.544235349539154e-05,0.00022632706048617463,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1013,
