M,K,n_train,encoder,learner,encoded_width,eta_table_s,encode_s,fit_s,eval_s,cell_s,peak_rss_mb,learner_shortfall_sanity,status
5,50,5000,ordered_catboost_sim,logistic,5,0.330679,0.1133,0.0018,0.0319,0.0715,281.5,0.077667,SUCCESS
5,50,5000,ordered_catboost_sim,lightgbm,5,0.330679,0.1133,0.1044,0.8714,1.0136,281.5,0.10951,SUCCESS
5,50,5000,ordered_catboost_sim,mlp,5,0.330679,0.1133,0.1241,0.0383,0.2002,281.5,0.080186,SUCCESS
5,50,5000,homals,logistic,10,0.330679,0.7796,0.0022,0.072,0.3341,281.5,0.149074,SUCCESS
5,50,5000,homals,lightgbm,10,0.330679,0.7796,0.0993,0.9766,1.3358,281.5,0.088896,SUCCESS
5,50,5000,homals,mlp,10,0.330679,0.7796,0.4566,0.074,0.7905,281.5,0.142124,SUCCESS
20,4,500,label,logistic,20,0.000285,0.0043,0.0012,0.2039,0.2065,322.1,0.09779,SUCCESS
20,4,500,label,lightgbm,20,0.000285,0.0043,0.0265,0.9301,0.958,322.1,0.223641,SUCCESS
20,4,500,label,mlp,20,0.000285,0.0043,0.0431,0.2087,0.2532,322.1,0.101343,SUCCESS
20,4,500,onehot,logistic,100,0.000285,0.0033,0.0016,0.1669,0.1696,328.9,0.131295,SUCCESS
20,4,500,onehot,lightgbm,100,0.000285,0.0033,0.0295,0.9738,1.0044,329.1,0.181183,SUCCESS
20,4,500,onehot,mlp,100,0.000285,0.0033,0.0404,0.1777,0.2192,329.1,0.112992,SUCCESS
20,4,500,count,logistic,20,0.000285,0.0066,0.0012,0.1066,0.11,329.1,0.092616,SUCCESS
20,4,500,count,lightgbm,20,0.000285,0.0066,0.0271,0.8213,0.8506,329.1,0.211597,SUCCESS
20,4,500,count,mlp,20,0.000285,0.0066,0.0167,0.1115,0.1304,329.1,0.131472,SUCCESS
20,4,500,hash_column,logistic,80,0.000285,0.0021,0.0022,0.2159,0.2188,335.1,0.09675,SUCCESS
20,4,500,hash_column,lightgbm,80,0.000285,0.0021,0.0317,0.9991,1.0315,335.2,0.178957,SUCCESS
20,4,500,hash_column,mlp,80,0.000285,0.0021,0.0426,0.238,0.2812,335.2,0.102728,SUCCESS
20,4,500,hash_shared,logistic,80,0.000285,0.0021,0.0013,0.2175,0.2195,335.2,0.122492,SUCCESS
20,4,500,hash_shared,lightgbm,80,0.000285,0.0021,0.0206,1.1224,1.1438,335.2,0.226009,SUCCESS
20,4,500,hash_shared,mlp,80,0.000285,0.0021,0.0338,0.2269,0.2614,335.2,0.127704,SUCCESS
20,4,500,target,logistic,20,0.000285,0.0548,0.0012,0.115,0.1344,335.2,0.092845,SUCCESS
20,4,500,target,lightgbm,20,0.000285,0.0548,0.0376,0.9219,0.9777,335.2,0.228339,SUCCESS
20,4,500,target,mlp,20,0.000285,0.0548,0.0277,0.1202,0.1662,335.2,0.085647,SUCCESS
20,4,500,woe,logistic,20,0.000285,0.088,0.0012,0.1098,0.1403,335.2,0.093001,SUCCESS
20,4,500,woe,lightgbm,20,0.000285,0.088,0.0396,0.9353,1.0042,335.2,0.256575,SUCCESS
20,4,500,woe,mlp,20,0.000285,0.088,0.0282,0.1121,0.1697,335.2,0.087722,SUCCESS
20,4,500,ordered_catboost_sim,logistic,20,0.000285,0.0599,0.0013,0.1129,0.1342,335.2,0.084269,SUCCESS
20,4,500,ordered_catboost_sim,lightgbm,20,0.000285,0.0599,0.0776,1.0405,1.1381,335.2,0.468236,SUCCESS
20,4,500,ordered_catboost_sim,mlp,20,0.000285,0.0599,0.034,0.119,0.173,335.2,0.082687,SUCCESS
20,4,500,homals,logistic,40,0.000285,0.1643,0.0018,0.26,0.3166,335.2,0.103989,SUCCESS
20,4,500,homals,lightgbm,40,0.000285,0.1643,0.0381,1.0504,1.1432,335.2,0.188824,SUCCESS
20,4,500,homals,mlp,40,0.000285,0.1643,0.0198,0.264,0.3386,335.2,0.153159,SUCCESS
20,4,5000,label,logistic,20,0.000285,0.0259,0.0022,0.2034,0.2142,335.2,0.069784,SUCCESS
20,4,5000,label,lightgbm,20,0.000285,0.0259,0.0955,0.7592,0.8633,335.2,0.036782,SUCCESS
20,4,5000,label,mlp,20,0.000285,0.0259,0.1337,0.2075,0.3498,335.2,0.083008,SUCCESS
20,4,5000,onehot,logistic,100,0.000285,0.021,0.0036,0.1629,0.1735,335.2,0.05811,SUCCESS
20,4,5000,onehot,lightgbm,100,0.000285,0.021,0.1059,0.7614,0.8742,335.2,0.038463,SUCCESS
20,4,5000,onehot,mlp,100,0.000285,0.021,0.2091,0.1703,0.3863,335.2,0.069144,SUCCESS
20,4,5000,count,logistic,20,0.000285,0.0198,0.0021,0.1061,0.1148,335.2,0.068369,SUCCESS
20,4,5000,count,lightgbm,20,0.000285,0.0198,0.0997,0.6847,0.791,335.2,0.036292,SUCCESS
20,4,5000,count,mlp,20,0.000285,0.0198,0.2085,0.1136,0.3287,335.2,0.074468,SUCCESS
20,4,5000,hash_column,logistic,80,0.000285,0.02,0.0057,0.2146,0.227,335.2,0.058358,SUCCESS
20,4,5000,hash_column,lightgbm,80,0.000285,0.02,0.1266,0.9217,1.055,335.2,0.056005,SUCCESS
20,4,5000,hash_column,mlp,80,0.000285,0.02,0.248,0.2243,0.479,335.2,0.080108,SUCCESS
20,4,5000,hash_shared,logistic,80,0.000285,0.0206,0.0036,0.2186,0.229,335.2,0.11693,SUCCESS
20,4,5000,hash_shared,lightgbm,80,0.000285,0.0206,0.0828,1.1769,1.2666,335.2,0.139279,SUCCESS
20,4,5000,hash_shared,mlp,80,0.000285,0.0206,0.1438,0.2257,0.3763,335.2,0.118906,SUCCESS
20,4,5000,target,logistic,20,0.000285,0.0864,0.0026,0.1128,0.1441,335.2,0.054942,SUCCESS
20,4,5000,target,lightgbm,20,0.000285,0.0864,0.1202,0.7966,0.9457,335.2,0.038384,SUCCESS
20,4,5000,target,mlp,20,0.000285,0.0864,0.1342,0.1193,0.2823,335.2,0.062143,SUCCESS
20,4,5000,woe,logistic,20,0.000285,0.1183,0.0022,0.1069,0.1485,335.2,0.054726,SUCCESS
20,4,5000,woe,lightgbm,20,0.000285,0.1183,0.1235,0.9481,1.111,335.2,0.038077,SUCCESS
20,4,5000,woe,mlp,20,0.000285,0.1183,0.1495,0.1169,0.3058,335.2,0.05975,SUCCESS
20,4,5000,ordered_catboost_sim,logistic,20,0.000285,0.4317,0.0028,0.1136,0.2603,335.2,0.054826,SUCCESS
20,4,5000,ordered_catboost_sim,lightgbm,20,0.000285,0.4317,0.2737,0.926,1.3436,335.2,0.033183,SUCCESS
20,4,5000,ordered_catboost_sim,mlp,20,0.000285,0.4317,0.126,0.1221,0.392,335.2,0.061583,SUCCESS
20,4,5000,homals,logistic,40,0.000285,1.5033,0.0043,0.2628,0.7681,335.2,0.081024,SUCCESS
20,4,5000,homals,lightgbm,40,0.000285,1.5033,0.1544,0.8489,1.5044,335.2,0.041073,SUCCESS
20,4,5000,homals,mlp,40,0.000285,1.5033,0.3629,0.27,1.1341,335.2,0.149233,SUCCESS
20,12,500,label,logistic,20,0.003508,0.0044,0.0011,0.208,0.2105,335.2,0.140802,SUCCESS
20,12,500,label,lightgbm,20,0.003508,0.0044,0.0322,0.9997,1.0333,335.2,0.258107,SUCCESS
20,12,500,label,mlp,20,0.003508,0.0044,0.0176,0.219,0.2381,335.2,0.162899,SUCCESS
20,12,500,onehot,logistic,260,0.003508,0.0033,0.0028,0.1986,0.2025,335.2,1.065089,SUCCESS
20,12,500,onehot,lightgbm,260,0.003508,0.0033,0.0344,1.3485,1.3839,335.2,0.199805,SUCCESS
20,12,500,onehot,mlp,260,0.003508,0.0033,0.0335,0.2162,0.2509,335.2,0.163894,SUCCESS
20,12,500,count,logistic,20,0.003508,0.0068,0.0013,0.1152,0.1188,335.2,0.130717,SUCCESS
20,12,500,count,lightgbm,20,0.003508,0.0068,0.034,0.8802,0.9165,335.2,0.249633,SUCCESS
20,12,500,count,mlp,20,0.003508,0.0068,0.0177,0.1121,0.1321,335.2,0.136504,SUCCESS
20,12,500,hash_column,logistic,240,0.003508,0.0027,0.0026,0.2551,0.2586,335.2,0.407809,SUCCESS
20,12,500,hash_column,lightgbm,240,0.003508,0.0027,0.036,1.3007,1.3376,335.2,0.208854,SUCCESS
20,12,500,hash_column,mlp,240,0.003508,0.0027,0.0258,0.2611,0.2877,335.2,0.172809,SUCCESS
20,12,500,hash_shared,logistic,240,0.003508,0.0025,0.0016,0.2797,0.282,335.2,0.146342,SUCCESS
20,12,500,hash_shared,lightgbm,240,0.003508,0.0025,0.0257,1.105,1.1316,335.2,0.283254,SUCCESS
20,12,500,hash_shared,mlp,240,0.003508,0.0025,0.0328,0.2896,0.3232,335.2,0.1413,SUCCESS
20,12,500,target,logistic,20,0.003508,0.0576,0.0014,0.116,0.1366,335.2,0.100486,SUCCESS
20,12,500,target,lightgbm,20,0.003508,0.0576,0.0471,0.9955,1.0618,335.2,0.29149,SUCCESS
20,12,500,target,mlp,20,0.003508,0.0576,0.0196,0.1232,0.162,335.2,0.126586,SUCCESS
20,12,500,woe,logistic,20,0.003508,0.0899,0.0012,0.1116,0.1428,335.2,0.107994,SUCCESS
20,12,500,woe,lightgbm,20,0.003508,0.0899,0.0483,1.0809,1.1592,335.2,0.287337,SUCCESS
20,12,500,woe,mlp,20,0.003508,0.0899,0.0455,0.1133,0.1888,335.2,0.119684,SUCCESS
